time,P
2023-03-27 8:49:43.6220,100014.02
2023-03-27 8:49:44.5590,100014.15
2023-03-27 8:49:45.4960,100014.44
2023-03-27 8:49:46.4390,100014.56
2023-03-27 8:49:47.3860,100014.6
2023-03-27 8:49:48.3390,100014.6
2023-03-27 8:49:49.2690,100014.45
2023-03-27 8:49:50.2140,100014.21
2023-03-27 8:49:51.1610,100013.95
2023-03-27 8:49:52.1000,100013.84
2023-03-27 8:49:53.0420,100013.77
2023-03-27 8:49:53.9800,100013.67
2023-03-27 8:49:54.9280,100013.61
2023-03-27 8:49:55.8830,100013.59
2023-03-27 8:49:56.8090,100013.5
2023-03-27 8:49:57.7590,100013.5
2023-03-27 8:49:58.6920,100013.42
2023-03-27 8:49:59.6370,100012.94
2023-03-27 8:50:00.5820,100012.15
2023-03-27 8:50:01.5230,100011.09
2023-03-27 8:50:02.4680,100010.25
2023-03-27 8:50:03.4100,100010.25
2023-03-27 8:50:04.3540,100010.6
2023-03-27 8:50:05.2970,100011.59
2023-03-27 8:50:06.2370,100012.76
2023-03-27 8:50:07.1760,100013.76
2023-03-27 8:50:08.1240,100014.21
2023-03-27 8:50:09.0600,100014.21
2023-03-27 8:50:10.0100,100014.12
2023-03-27 8:50:10.9610,100014.12
2023-03-27 8:50:11.8890,100014.12
2023-03-27 8:50:12.8360,100014.01
2023-03-27 8:50:13.7700,100013.94
2023-03-27 8:50:14.7160,100013.89
2023-03-27 8:50:15.6580,100013.79
2023-03-27 8:50:16.5980,100013.71
2023-03-27 8:50:17.5450,100013.63
2023-03-27 8:50:18.4970,100013.59
2023-03-27 8:50:19.4270,100013.53
2023-03-27 8:50:20.3690,100013.53
2023-03-27 8:50:21.3100,100013.54
2023-03-27 8:50:22.2530,100013.57
2023-03-27 8:50:23.1970,100013.57
2023-03-27 8:50:24.1370,100013.57
2023-03-27 8:50:25.0810,100013.53
2023-03-27 8:50:26.0390,100013.53
2023-03-27 8:50:26.9660,100013.56
2023-03-27 8:50:27.9100,100013.56
2023-03-27 8:50:28.8510,100013.53
2023-03-27 8:50:29.7930,100013.44
2023-03-27 8:50:30.7340,100013.39
2023-03-27 8:50:31.6760,100012.84
2023-03-27 8:50:32.6180,100011.94
2023-03-27 8:50:33.5750,100010.35
2023-03-27 8:50:34.5020,100008.1
2023-03-27 8:50:35.4440,100005.3
2023-03-27 8:50:36.3900,100002.85
2023-03-27 8:50:37.3280,100000.66
2023-03-27 8:50:38.2720,99998.57
2023-03-27 8:50:39.2080,99996.15
2023-03-27 8:50:40.1490,99993.23
2023-03-27 8:50:41.1120,99989.57
2023-03-27 8:50:42.0350,99985.56
2023-03-27 8:50:42.9760,99982.19
2023-03-27 8:50:43.9290,99979.93
2023-03-27 8:50:44.8620,99978.64
2023-03-27 8:50:45.8010,99978.33
2023-03-27 8:50:46.7390,99978.33
2023-03-27 8:50:47.6840,99978.5
2023-03-27 8:50:48.6260,99978.5
2023-03-27 8:50:49.5640,99978.49
2023-03-27 8:50:50.5080,99978.31
2023-03-27 8:50:51.4660,99978.31
2023-03-27 8:50:52.3900,99978.46
2023-03-27 8:50:53.3360,99978.88
2023-03-27 8:50:54.2800,99979.75
2023-03-27 8:50:55.2140,99980.79
2023-03-27 8:50:56.1550,99981.55
2023-03-27 8:50:57.0920,99981.82
2023-03-27 8:50:58.0380,99981.82
2023-03-27 8:50:58.9780,99981.54
2023-03-27 8:50:59.9150,99981.11
2023-03-27 8:51:00.8610,99980.75
2023-03-27 8:51:01.8180,99980.51
2023-03-27 8:51:02.7420,99980.3
2023-03-27 8:51:03.6870,99980.01
2023-03-27 8:51:04.6330,99979.81
2023-03-27 8:51:05.5680,99979.76
2023-03-27 8:51:06.5090,99979.55
2023-03-27 8:51:07.4430,99979.34
2023-03-27 8:51:08.3870,99979.05
2023-03-27 8:51:09.3280,99978.89
2023-03-27 8:51:10.2640,99978.57
2023-03-27 8:51:11.2110,99978.32
2023-03-27 8:51:12.1520,99978.29
2023-03-27 8:51:13.0860,99978.26
2023-03-27 8:51:14.0320,99978.25
2023-03-27 8:51:14.9890,99978.25
2023-03-27 8:51:15.9110,99978.32
2023-03-27 8:51:16.8560,99978.32
2023-03-27 8:51:17.8030,99978.32
2023-03-27 8:51:18.7330,99978.15
2023-03-27 8:51:19.6780,99978.07
2023-03-27 8:51:20.6160,99977.84
2023-03-27 8:51:21.5550,99977.68
2023-03-27 8:51:22.5000,99977.51
2023-03-27 8:51:23.4310,99977.51
2023-03-27 8:51:24.3770,99977.55
2023-03-27 8:51:25.3210,99977.68
2023-03-27 8:51:26.2550,99977.68
2023-03-27 8:51:27.2010,99977.68
2023-03-27 8:51:28.1500,99977.68
2023-03-27 8:51:29.0780,99977.68
2023-03-27 8:51:30.0200,99977.58
2023-03-27 8:51:30.9640,99977.58
2023-03-27 8:51:31.9000,99977.6
2023-03-27 8:51:32.8410,99977.6
2023-03-27 8:51:33.7790,99977.55
2023-03-27 8:51:34.7250,99977.41
2023-03-27 8:51:35.6630,99976.91
2023-03-27 8:51:36.5980,99975.52
2023-03-27 8:51:37.5460,99973.62
2023-03-27 8:51:38.4850,99971.55
2023-03-27 8:51:39.4250,99969.55
2023-03-27 8:51:40.3600,99967.44
2023-03-27 8:51:41.3210,99966.8
2023-03-27 8:51:42.2450,99966.8
2023-03-27 8:51:43.1870,99967.45
2023-03-27 8:51:44.1330,99968.05
2023-03-27 8:51:45.0710,99969.01
2023-03-27 8:51:46.0090,99969.58
2023-03-27 8:51:46.9470,99969.84
2023-03-27 8:51:47.8890,99970.02
2023-03-27 8:51:48.8320,99970.02
2023-03-27 8:51:49.7670,99970.0
2023-03-27 8:51:50.7130,99969.73
2023-03-27 8:51:51.6520,99969.44
2023-03-27 8:51:52.5910,99969.2
2023-03-27 8:51:53.5320,99969.05
2023-03-27 8:51:54.4830,99969.05
2023-03-27 8:51:55.4130,99969.07
2023-03-27 8:51:56.3530,99969.14
2023-03-27 8:51:57.3010,99969.26
2023-03-27 8:51:58.2340,99969.31
2023-03-27 8:51:59.1760,99969.45
2023-03-27 8:52:00.1170,99969.46
2023-03-27 8:52:01.0550,99969.61
2023-03-27 8:52:01.9960,99969.78
2023-03-27 8:52:02.9340,99969.89
2023-03-27 8:52:03.8810,99969.94
2023-03-27 8:52:04.8220,99970.0
2023-03-27 8:52:05.7550,99970.0
2023-03-27 8:52:06.6960,99970.02
2023-03-27 8:52:07.6490,99970.07
2023-03-27 8:52:08.5750,99970.12
2023-03-27 8:52:09.5220,99970.31
2023-03-27 8:52:10.4720,99970.63
2023-03-27 8:52:11.3970,99971.02
2023-03-27 8:52:12.3400,99971.39
2023-03-27 8:52:13.2850,99971.73
2023-03-27 8:52:14.2210,99971.76
2023-03-27 8:52:15.1640,99971.76
2023-03-27 8:52:16.0990,99971.53
2023-03-27 8:52:17.0430,99971.25
2023-03-27 8:52:17.9880,99971.04
2023-03-27 8:52:18.9190,99970.92
2023-03-27 8:52:19.8640,99970.92
2023-03-27 8:52:20.8180,99971.0
2023-03-27 8:52:21.7430,99971.08
2023-03-27 8:52:22.6840,99971.18
2023-03-27 8:52:23.6330,99971.34
2023-03-27 8:52:24.5640,99971.47
2023-03-27 8:52:25.5030,99971.51
2023-03-27 8:52:26.4500,99971.54
2023-03-27 8:52:27.3800,99971.54
2023-03-27 8:52:28.3190,99971.5
2023-03-27 8:52:29.2610,99971.39
2023-03-27 8:52:30.1990,99971.34
2023-03-27 8:52:31.1370,99971.34
2023-03-27 8:52:32.0700,99971.4
2023-03-27 8:52:33.0160,99971.47
2023-03-27 8:52:33.9530,99971.53
2023-03-27 8:52:34.8890,99971.53
2023-03-27 8:52:35.8280,99971.56
2023-03-27 8:52:36.7660,99971.62
2023-03-27 8:52:37.7060,99971.66
2023-03-27 8:52:38.6450,99971.79
2023-03-27 8:52:39.5840,99971.99
2023-03-27 8:52:40.5220,99972.35
2023-03-27 8:52:41.4620,99972.71
2023-03-27 8:52:42.4020,99973.08
2023-03-27 8:52:43.3370,99973.37
2023-03-27 8:52:44.2720,99973.55
2023-03-27 8:52:45.2140,99973.61
2023-03-27 8:52:46.1490,99973.61
2023-03-27 8:52:47.0950,99973.46
2023-03-27 8:52:48.0330,99973.29
2023-03-27 8:52:48.9650,99973.2
2023-03-27 8:52:49.9070,99972.96
2023-03-27 8:52:50.8460,99972.92
2023-03-27 8:52:51.7790,99972.92
2023-03-27 8:52:52.7260,99973.03
2023-03-27 8:52:53.6610,99973.03
2023-03-27 8:52:54.5950,99973.04
2023-03-27 8:52:55.5390,99973.04
2023-03-27 8:52:56.4770,99973.0
2023-03-27 8:52:57.4150,99972.96
2023-03-27 8:52:58.3530,99972.96
2023-03-27 8:52:59.2960,99973.04
2023-03-27 8:53:00.2280,99973.07
2023-03-27 8:53:01.1680,99973.09
2023-03-27 8:53:02.1090,99973.07
2023-03-27 8:53:03.0430,99973.01
2023-03-27 8:53:03.9850,99973.0
2023-03-27 8:53:04.9240,99973.0
2023-03-27 8:53:05.8570,99973.01
2023-03-27 8:53:06.8010,99973.08
2023-03-27 8:53:07.7570,99973.08
2023-03-27 8:53:08.6740,99973.08
2023-03-27 8:53:09.6200,99973.07
2023-03-27 8:53:10.5700,99972.94
2023-03-27 8:53:11.4930,99972.9
2023-03-27 8:53:12.4310,99972.89
2023-03-27 8:53:13.3870,99972.89
2023-03-27 8:53:14.3080,99972.89
2023-03-27 8:53:15.2470,99972.76
2023-03-27 8:53:16.2010,99972.59
2023-03-27 8:53:17.1230,99972.26
2023-03-27 8:53:18.0610,99971.86
2023-03-27 8:53:19.0110,99971.47
2023-03-27 8:53:19.9370,99971.08
2023-03-27 8:53:20.8730,99970.72
2023-03-27 8:53:21.8210,99970.51
2023-03-27 8:53:22.7530,99970.51
2023-03-27 8:53:23.6920,99970.63
2023-03-27 8:53:24.6430,99970.63
2023-03-27 8:53:25.5720,99969.67
2023-03-27 8:53:26.5080,99967.92
2023-03-27 8:53:27.4590,99965.69
2023-03-27 8:53:28.3840,99961.8
2023-03-27 8:53:29.3260,99956.85
2023-03-27 8:53:30.2720,99952.6
2023-03-27 8:53:31.1990,99948.88
2023-03-27 8:53:32.1390,99944.79
2023-03-27 8:53:33.0850,99941.47
2023-03-27 8:53:34.0150,99938.69
2023-03-27 8:53:34.9570,99935.65
2023-03-27 8:53:35.8970,99932.59
2023-03-27 8:53:36.8300,99929.91
2023-03-27 8:53:37.7720,99927.8
2023-03-27 8:53:38.7150,99926.31
2023-03-27 8:53:39.6450,99925.58
2023-03-27 8:53:40.5870,99925.16
2023-03-27 8:53:41.5320,99924.94
2023-03-27 8:53:42.4590,99924.91
2023-03-27 8:53:43.4010,99924.8
2023-03-27 8:53:44.3390,99924.61
2023-03-27 8:53:45.2740,99924.49
2023-03-27 8:53:46.2080,99924.49
2023-03-27 8:53:47.1550,99924.56
2023-03-27 8:53:48.0880,99924.8
2023-03-27 8:53:49.0250,99924.91
2023-03-27 8:53:49.9720,99925.17
2023-03-27 8:53:50.9010,99925.25
2023-03-27 8:53:51.8440,99925.25
2023-03-27 8:53:52.7880,99925.01
2023-03-27 8:53:53.7250,99924.82
2023-03-27 8:53:54.6670,99924.51
2023-03-27 8:53:55.6050,99924.15
2023-03-27 8:53:56.5490,99924.15
2023-03-27 8:54:04.9260,99927.36
2023-03-27 8:54:04.9280,99927.36
2023-03-27 8:54:04.9290,99927.36
2023-03-27 8:54:04.9340,99927.36
2023-03-27 8:54:04.9380,99927.36
2023-03-27 8:54:04.9420,99927.36
2023-03-27 8:54:04.9460,99927.36
2023-03-27 8:54:04.9820,99925.9
2023-03-27 8:54:05.0140,99927.44
2023-03-27 8:54:05.9530,99927.76
2023-03-27 8:54:06.8940,99927.76
2023-03-27 8:54:07.8320,99927.25
2023-03-27 8:54:08.7760,99926.93
2023-03-27 8:54:09.7170,99926.08
2023-03-27 8:54:10.6780,99925.07
2023-03-27 8:54:11.6100,99924.21
2023-03-27 8:54:12.5490,99924.21
2023-03-27 8:54:13.4930,99924.21
2023-03-27 8:54:14.4320,99924.12
2023-03-27 8:54:15.3720,99924.09
